mapas    "D* Lite"           LRTA*              LRTA*(k)            LSSLRTA*            P-LRTA*             PRTA*               RTAA*               TBAA*
arena2 0.11623459223857906 3.348775578233852e-05 0.0008716780497633378 0.028053687007767933 0.023910950603972976 3.948674151849348e-05 0.025337125227978107 0.030052146593971745
combat 1.8288638731068756 4.9347063788904985e-05 0.0002621907874718786 0.02562138080213885 0.017997655820857324 5.433699190117229e-05 0.026253578770015894 0.0326107938568918
duskwood 0.33397637764020605 3.2322179086617856e-05 0.0012284492680514373 0.031115441865813765 0.028381436444476035 4.155371458397318e-05 0.031745040496302716 0.03641643088661649
hrt201n 0.053914742435785784 3.332662819406006e-05 0.0019059017452476895 0.028051573763714747 0.02923381450472291 3.84200012400807e-05 0.028267874139544936 0.03070987863426616
lak503d 0.05220297779472236 3.5482906673816934e-05 0.0033349751567356726 0.02687583568633044 0.027341998012026223 3.923362277693553e-05 0.02664528992838513 0.03029287131005281
