mapas d_lite lrta lrta_k lsslrta plrta prta rtaa tbaa
arena2 14233.3 5078.489473684211 28454.91052631579 6696.0684210526315 194438.43684210526 1659.5473684210526 5145.678947368421 115144.46842105263
combat 5970.107692307693 215.03846153846155 671.7461538461539 834.6692307692308 14628.653846153846 122.58461538461539 1227.4153846153847 11038.923076923076
duskwood 31757.71923076923 16872.015384615384 47890.557692307695 10257.392307692307 245015.0923076923 1281.8653846153845 8649.446153846155 138086.21538461538
hrt201n 29662.232 63326.776 129219.636 28635.804 729768.896 4608.832 22332.416 879877.468
lak503d 21223.164 141671.628 297864.924 57964.56 894574.64 5833.508 44163.228 864852.288
