0 0 2.3 2.3 2.921315 0.0 1.0 0.0005541661 5.5866300000000004e-05 5.5866300000000004e-05 6.6031e-05 5.5971899999999985e-05 6.6031e-05
5 5 17.5 17.5 22.139152000000003 8.043184107596213e-17 1.0 0.003749303599999999 4.133629268962848e-05 4.133629268962848e-05 5.858060000000001e-05 4.045889999999999e-05 4.9366e-05
10 10 34.8 34.8 41.593043999999985 0.004317778201542619 1.0 0.0088245753 6.564733427272525e-05 6.564733427272525e-05 0.0009656376000000001 3.63468e-05 5.09111e-05
15 15 53.3 53.3 62.57830399999996 0.014229526694171343 1.0 0.012808304699999998 7.187497246322062e-05 7.187497246322062e-05 0.0018615934999999997 3.49693e-05 4.9625699999999995e-05
20 20 72.4 72.4 82.87951299999995 0.007816294295073783 1.0 0.0164723312 5.154105426231525e-05 5.154105426231525e-05 0.0011792279 3.3757600000000004e-05 4.65993e-05
25 25 93.1 93.1 103.12388199999994 0.011018389443036142 1.0 0.0198812607 5.0255753962723566e-05 5.0255753962723566e-05 0.0014130233000000001 3.4010399999999995e-05 4.30649e-05
30 30 106.3 106.3 121.79145399999989 2.65887839849666e-07 1.0 0.024143791 5.478364344587163e-05 5.478364344587163e-05 0.0018596544999999998 3.564309999999999e-05 4.4571600000000005e-05
35 35 127.6 127.6 143.4228219999999 0.009448282041286503 1.0 0.0282229043 5.2659155326366066e-05 5.2659155326366066e-05 0.0020868342999999998 3.5026299999999994e-05 4.44697e-05
40 40 140.5 140.5 163.44723399999984 0.007226436962005113 1.0 0.031584455 4.867636516079378e-05 4.867636516079378e-05 0.0016275123000000003 3.6731500000000006e-05 4.44529e-05
45 45 170.9 170.9 185.56303399999987 0.018624257726708043 1.0 0.03814009820000001 4.4196322205665796e-05 4.4196322205665796e-05 0.0014001420999999999 3.57649e-05 4.3046699999999996e-05
50 50 171.1 171.1 211.5268959999997 0.046698698747432814 1.0 0.039551764600000004 4.6055998478153746e-05 4.6055998478153746e-05 0.0011737016 3.9657800000000005e-05 4.5332e-05
55 55 232.2 232.2 282.69219899999973 0.2718240727651754 1.0 0.0524445429 5.0297080355542766e-05 5.0297080355542766e-05 0.0020855378 4.0408700000000005e-05 4.52331e-05
