Teste,Bucket,Num. Solves,Total Time,Final Cost
133,13,2.0,0.019965869,52.911559999999966
134,13,542.0,6.869075944,55.49734999999996
135,13,658.0,7.7323088,53.112619999999986
136,13,609.0,7.532477776,54.84050999999997
137,13,2.0,0.022471505,53.76945999999996
138,13,672.0,7.949116858,54.11261999999998
139,13,554.0,6.631130427,52.18366999999998
140,13,636.0,7.664729863,52.45577999999999
141,14,582.0,7.399948754,56.25471999999996
142,14,629.0,8.399304927,57.01208999999997
143,14,639.0,8.130189565,58.25471999999996
144,14,2.0,0.021439228,56.91155999999996
145,14,578.0,7.210125894,56.49734999999996
146,14,2.0,0.023419317,56.355249999999955
147,14,717.0,8.708085234,56.355249999999984
148,14,2.0,0.021270246,58.325769999999956
149,14,556.0,6.882421555,56.911559999999966
150,14,603.0,7.835709484,58.32576999999996
151,15,2.0,0.021403601,60.56839999999995
152,15,2.0,0.022329763,60.08313999999995
153,15,649.0,8.453142273,60.73997999999996
154,15,600.0,7.831066003,60.568399999999954
155,15,625.0,8.281137089,61.15418999999996
156,15,717.0,10.131003154,61.32576999999996
157,15,665.0,8.754395611,61.15418999999996
158,15,2.0,0.022762894,60.91155999999995
159,15,691.0,9.214613392,61.32576999999996
160,15,629.0,8.71188913,62.15418999999996
