mapas    "D* Lite"             LRTA*                 LRTA*(k)     LSSLRTA*            P-LRTA*              PRTA*                 RTAA*               TBAA*
arena2 30322.058494899517 3941.8866147416898 7720.080944126368 10396.998157323276 155714.6063490264 1325.7685242808568   8572.23882223044   34492.49462735719
combat 12125.399290476478 170.88748855999015 192.20376013711024 1529.6326172097806 14306.369372974274 100.0              1148.0607421472805 5370.241868664957
duskwood 65551.43076215914 13166.241665770332 13308.528068155729 17327.402049448872 221123.7074552761 1026.2801453289549 14889.895205582903 67126.43251250268
hrt201n 65999.13439450118 50258.368454075506 36067.984998157604 47904.54501305531 676130.4695271535 3694.886243933599    40232.22186910603  153665.15000645132
lak503d 47557.17350302778 113097.74457546552 87329.68879431234 60747.949233151885 996746.1908695983 4659.114540096258    38363.28314634004  106872.33993674802
