Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
39,15,49.0,49,63.497349999999955,0.0284620530255046,1.0,0.010949775,3.54565918367347e-05,3.54565918367347e-05,6.2604e-05,3.528e-05,4.2613e-05
40,15,113.0,113,117.55630999999997,0.8800917685028359,1.0,0.023291051,3.232365486725664e-05,3.232365486725664e-05,6.39e-05,3.1831e-05,3.6172e-05
41,20,171.0,171,173.48525999999998,1.0709811196424477,1.0,0.035888952,3.3323526315789466e-05,3.3323526315789466e-05,6.3707e-05,3.3042e-05,3.9973e-05
42,20,93.0,93,98.38472999999996,0.2108174532458385,1.0,0.019981072,3.202101075268818e-05,3.202101075268818e-05,6.3992e-05,3.1673e-05,3.6275e-05
43,20,179.0,179,185.62735999999995,1.3199882017992248,1.0,0.041645144,3.13832402234637e-05,3.13832402234637e-05,6.4573e-05,3.2103e-05,3.6792e-05
44,20,354.0,354,358.14210000000026,3.29657262345646,1.0,0.074899147,3.172792090395479e-05,3.172792090395479e-05,6.7614e-05,3.1868e-05,3.8649e-05
45,20,757.0,757,776.4678700000007,8.642341503274071,1.0,0.154902731,3.0376306472919388e-05,3.0376306472919388e-05,6.46e-05,2.9517e-05,3.7034e-05
46,20,599.0,599,614.7399800000005,6.594905184140078,1.0,0.126339084,3.0041794657762942e-05,3.0041794657762942e-05,6.2158e-05,2.9346e-05,3.5911e-05
47,20,238.0,238,241.72788999999997,1.9525784138531648,1.0,0.052402956,2.985275210084033e-05,2.985275210084033e-05,6.5216e-05,2.9342e-05,3.584e-05
48,20,267.0,267,271.97052,2.287046063516965,1.0,0.055378442,3.0387737827715373e-05,3.0387737827715373e-05,6.4398e-05,3.0391e-05,3.7294e-05
49,20,215.0,215,221.21314999999996,1.6602731307941976,1.0,0.044107059,3.1495218604651155e-05,3.1495218604651155e-05,6.1964e-05,3.1358e-05,3.9768e-05
50,20,96.0,96,96.0,0.15366312075488023,1.0,0.02173051,3.253506249999998e-05,3.253506249999998e-05,5.2741e-05,3.3912e-05,3.5359e-05
51,25,116.0,116,121.38472999999996,0.19107396577439315,1.0,0.024762343,3.2549775862068964e-05,3.2549775862068964e-05,6.2753e-05,3.3725e-05,4.1863e-05
52,25,121.0,121,121.0,0.19872004438236193,1.0,0.025750657,3.262223140495867e-05,3.262223140495867e-05,6.256e-05,3.3736e-05,4.1867e-05
53,25,15250.0,15250,15538.704370000263,152.35357529163556,1.0,3.154314998,3.158254977049196e-05,3.158254977049196e-05,0.007114095,2.8182e-05,3.6793e-05
54,25,124.0,124,126.48525999999998,0.22211523039315131,1.0,0.028429199,3.277575e-05,3.277575e-05,0.000101271,3.0909e-05,3.7201e-05
55,25,861.0,861,871.3552500000003,7.547642754142104,1.0,0.189657033,2.9987319396051148e-05,2.9987319396051148e-05,6.3556e-05,2.9578e-05,3.599e-05
56,25,687.0,687,692.3847300000001,5.667739428549418,1.0,0.142279237,3.054672780203781e-05,3.054672780203781e-05,6.1975e-05,3.0106e-05,3.7219e-05
57,25,12544.0,12544,12860.870650000224,125.92567208811387,1.0,2.583705967,3.161393423150501e-05,3.161393423150501e-05,0.007364971,2.8614e-05,3.6525e-05
58,25,114.0,114,123.94103999999993,0.23066040452383485,1.0,0.02544606,3.281110526315791e-05,3.281110526315791e-05,6.1582e-05,3.3387e-05,4.0874e-05
59,25,11577.0,11577,11829.668100000144,117.28248710154925,1.0,2.383236968,3.093637047594389e-05,3.093637047594389e-05,0.007066441,2.7425e-05,3.5317e-05
60,25,151.0,151,152.65684,0.4774291078721716,1.0,0.032022721,3.1501397350993385e-05,3.1501397350993385e-05,6.5194e-05,3.1457e-05,3.6233e-05
61,30,840.0,840,861.1247100000005,6.111854760783929,1.0,0.188159051,3.059373333333331e-05,3.059373333333331e-05,6.3849e-05,2.9782e-05,3.7078e-05
62,30,379.0,379,382.72789,2.1375510521957977,1.0,0.079223897,3.136306860158312e-05,3.136306860158312e-05,6.3841e-05,3.1357e-05,3.8814e-05
63,30,960.0,960,980.7105000000008,7.071890663967019,1.0,0.202318848,3.023625208333333e-05,3.023625208333333e-05,0.000126811,2.974e-05,3.619e-05
64,30,174990.0,174990,179730.21923998106,1450.298190744431,1.0,41.64478884,3.5517237236413835e-05,3.5517237236413835e-05,0.03464236,2.8479e-05,3.597e-05
65,30,2333.0,2333,2386.0188799999955,18.571649058337126,1.0,0.523301264,3.160833176168017e-05,3.160833176168017e-05,0.002768319,2.8147e-05,3.5297e-05
66,30,277.0,277,277.82842,1.2872560674416305,1.0,0.056379989,3.071775812274367e-05,3.071775812274367e-05,6.3923e-05,3.0552e-05,3.6969e-05
67,30,265.0,265,271.62736000000024,1.2317404343075007,1.0,0.055649781,3.202457358490565e-05,3.202457358490565e-05,6.4616e-05,3.183e-05,3.8565e-05
68,30,4416.0,4416,4513.753559999984,35.46534681940818,1.0,0.966111679,2.9730078351449194e-05,2.9730078351449194e-05,0.002963545,2.7741e-05,3.5234e-05
69,30,121.0,121,134.2547199999999,0.0852286377120863,1.0,0.027118028,3.3473272727272734e-05,3.3473272727272734e-05,6.4779e-05,3.4076e-05,3.8898e-05
70,30,27385.0,27385,27713.46852999968,222.70859793997255,1.0,6.235610078,3.367142592660249e-05,3.367142592660249e-05,0.008319866,2.828e-05,3.7047e-05
71,35,234850.0,234850,238746.0592599501,1662.7703872551347,1.0,50.611404357,3.632940895891007e-05,3.632940895891007e-05,0.047370934,2.8297e-05,3.5941e-05
72,35,472.0,472,478.6273600000004,2.336800730624171,1.0,0.095288397,2.93246461864407e-05,2.93246461864407e-05,6.3453e-05,2.8547e-05,3.4624e-05
73,35,6375.0,6375,6506.304569999977,45.079949644465685,1.0,1.359778164,3.1610826196078454e-05,3.1610826196078454e-05,0.00344627,2.8197e-05,3.6119e-05
74,35,235154.0,235154,238700.05180995216,1690.912220536508,1.0,50.204181,3.495445668370466e-05,3.495445668370466e-05,0.047718845,2.7236e-05,3.5156e-05
75,35,7644.0,7644,7820.867669999968,53.69788485344389,1.0,1.555066775,2.9845787545787563e-05,2.9845787545787563e-05,0.003342563,2.7085e-05,3.4968e-05
76,35,12335.0,12335,12595.952300000157,88.6528203449195,1.0,2.71774278,3.092762464531832e-05,3.092762464531832e-05,0.007587652,2.7556e-05,3.5639e-05
77,35,1020.0,1020,1029.1126200000006,6.203997255920425,1.0,0.210271203,3.127062549019603e-05,3.127062549019603e-05,0.000126285,3.0745e-05,3.8774e-05
78,35,10393.0,10393,10646.910730000114,74.22245268088734,1.0,2.265845301,3.23340664870586e-05,3.23340664870586e-05,0.006987941,2.7957e-05,3.5855e-05
79,35,184.0,184,191.86998999999994,0.36858391109589395,1.0,0.038071035,3.160401630434781e-05,3.160401630434781e-05,6.3249e-05,3.1126e-05,3.6156e-05
80,35,230.0,230,245.32576999999992,0.7065903083087532,1.0,0.047846468,3.093371739130433e-05,3.093371739130433e-05,6.3571e-05,3.1129e-05,3.738e-05
81,40,255136.0,255136,259160.05014993963,1583.408110032706,1.0,54.454069633,3.566271977690362e-05,3.566271977690362e-05,0.048942806,2.8547e-05,3.6203e-05
82,40,467.0,467,485.2252400000011,2.0216852554162767,1.0,0.104488455,3.0263104925053554e-05,3.0263104925053554e-05,6.4659e-05,2.9537e-05,3.7179e-05
83,40,235231.0,235231,238663.55826995647,1477.7360252666188,1.0,52.279813968,3.750374842176542e-05,3.750374842176542e-05,0.067346394,2.8506e-05,3.5571e-05
84,40,245253.0,245253,249378.53159994533,1548.0985482935796,1.0,53.178902117,3.5820537216670535e-05,3.5820537216670535e-05,0.072567589,2.7475e-05,3.5233e-05
85,40,17325.0,17325,17620.331730000224,108.17384914217875,1.0,3.78151305,3.0595845252525376e-05,3.0595845252525376e-05,0.005126088,2.7837e-05,3.6545e-05
