mapas    "D* Lite"             LRTA*                 LRTA*(k)     LSSLRTA*            P-LRTA*              PRTA*                 RTAA*               TBAA*
arena2 885041986.7746632 14827607.351970406 68522398.43139103 12562581.855815427 12201103913.929815 1759246.059152635 2945580.158525672 3748982004.4641447
combat 149861042.11280555 28077.902666222406 66180.22823725195 778808.3078072148 116059243.62592666 10000.0 366936.12311562 20172297.669229947
duskwood 4905845029.3283415 168184998.46133584 191990757.58484802 36523447.422763154 28576793756.954556 1073962.6229479802 8069338.126912868 2802720829.4554715
hrt201n 4165035777.3743896 2395860414.356024 1325385782.1490488 197873825.05168617 124971617218.65062 13118008.150348933 32535034.49426211 43148192937.757675
lak503d 2122401766.14063 12362204679.501268 7692453017.292601 794192677.6535643 176971833776.18884 21173202.580065686 56478559.74036769 9715570301.508879
